pu,threat,amount,action_cost,status
595,1,30.34797,1,0
596,1,38.48403,1,0
597,1,87.04037,1,0
598,1,104.73836,1,0
599,1,100.77132,1,0
600,1,180.25092,1,0
601,1,165.81236,1,0
602,1,83.5882,1,0
603,1,20.26673,1,0
604,1,14.74303,1,0
605,1,426.06644,1,0
606,1,195.24986,1,0
607,1,205.03419,1,0
608,1,5.802,1,0
609,1,13.45635,1,0
610,1,161.13728,1,0
611,1,179.73746,1,0
612,1,17.59339,1,0
613,1,29.50139,1,0
614,1,196.02175,1,0
615,1,159.30867,1,0
616,1,164.61013,1,0
617,1,235.29701,1,0
618,1,137.63533,1,0
619,1,310.5275,1,0
620,1,59.38386,1,0
621,1,179.30854,1,0
622,1,258.16012,1,0
623,1,220.1194,1,0
624,1,82.60047,1,0
625,1,51.24182,1,0
626,1,29.99564,1,0
627,1,30.81852,1,0
628,1,78.14008,1,0
629,1,65.79164,1,0
630,1,193.52259,1,0
631,1,32.94678,1,0
632,1,132.06955,1,0
633,1,34.61647,1,0
634,1,99.25293,1,0
635,1,455.00597,1,0
636,1,41.74434,1,0
637,1,383.7058,1,0
638,1,141.78591,1,0
639,1,252.37639,1,0
640,1,50.56481,1,0
641,1,27.9589,1,0
642,1,60.3967,1,0
643,1,32.68462,1,0
644,1,101.99492,1,0
645,1,58.57731,1,0
646,1,97.34376,1,0
647,1,391.8415,1,0
648,1,323.13718,1,0
649,1,292.4878,1,0
650,1,422.54913,1,0
651,1,166.40145,1,0
652,1,141.34109,1,0
653,1,276.78563,1,0
654,1,244.20416,1,0
655,1,98.7859,1,0
656,1,21.99432,1,0
657,1,46.5865,1,0
658,1,24.18122,1,0
659,1,36.59452,1,0
660,1,77.37895,1,0
661,1,35.34064,1,0
662,1,77.00905,1,0
663,1,403.39823,1,0
664,1,148.71178,1,0
665,1,364.73417,1,0
666,1,271.70661,1,0
667,1,8.96803,1,0
668,1,11.3341,1,0
669,1,214.36811,1,0
670,1,99.65979,1,0
671,1,158.25163,1,0
672,1,60.99286,1,0
673,1,120.11006,1,0
675,1,7.03117,1,0
676,1,288.30941,1,0
677,1,242.37588,1,0
678,1,30.79216,1,0
679,1,38.93574,1,0
680,1,58.47989,1,0
681,1,12.4564,1,0
682,1,31.99076,1,0
683,1,10.8029,1,0
684,1,222.21958,1,0
685,1,205.30495,1,0
686,1,287.23353,1,0
687,1,131.88383,1,0
688,1,304.37738,1,0
689,1,196.94362,1,0
690,1,45.97765,1,0
691,1,20.01189,1,0
692,1,33.27587,1,0
693,1,26.9127,1,0
694,1,27.12759,1,0
695,1,25.89627,1,0
696,1,223.80833,1,0
697,1,143.04387,1,0
698,1,238.10847,1,0
699,1,180.13142,1,0
700,1,238.64713,1,0
701,1,289.54359,1,0
702,1,199.8919,1,0
703,1,160.24273,1,0
704,1,245.7419,1,0
705,1,14.60729,1,0
706,1,9.21444,1,0
707,1,256.72187,1,0
708,1,144.97615,1,0
709,1,264.93407,1,0
711,1,119.4611,1,0
712,1,12.5839,1,0
713,1,231.00782,1,0
714,1,195.91645,1,0
715,1,218.03211,1,0
716,1,289.6102,1,0
717,1,250.04914,1,0
718,1,38.41929,1,0
719,1,39.42354,1,0
720,1,215.88609,1,0
721,1,266.04261,1,0
722,1,59.92088,1,0
723,1,64.25884,1,0
724,1,17.06648,1,0
725,1,13.27584,1,0
726,1,70.47116,1,0
727,1,76.69832,1,0
728,1,28.39113,1,0
729,1,38.33047,1,0
730,1,15.86249,1,0
731,1,30.725,1,0
732,1,40.5295,1,0
733,1,64.37931,1,0
734,1,218.72385,1,0
735,1,59.05897,1,0
736,1,32.67688,1,0
737,1,289.3376,1,0
738,1,17.17679,1,0
739,1,32.39789,1,0
740,1,291.20652,1,0
741,1,252.66648,1,0
742,1,52.50383,1,0
743,1,354.19896,1,0
744,1,242.65511,1,0
745,1,19.70962,1,0
746,1,21.13648,1,0
747,1,212.03527,1,0
748,1,55.53018,1,0
749,1,66.60356,1,0
750,1,34.58977,1,0
751,1,23.68298,1,0
752,1,86.32091,1,0
753,1,15.00498,1,0
754,1,154.31895,1,0
755,1,204.28699,1,0
756,1,57.47679,1,0
757,1,402.39255,1,0
758,1,107.94992,1,0
759,1,103.76345,1,0
760,1,380.75507,1,0
761,1,136.73244,1,0
762,1,44.0809,1,0
763,1,122.54403,1,0
764,1,283.00738,1,0
765,1,168.11626,1,0
766,1,289.72194,1,0
767,1,156.49248,1,0
768,1,96.28751,1,0
769,1,213.04382,1,0
770,1,152.4444,1,0
771,1,57.03773,1,0
772,1,127.56957,1,0
773,1,190.86097,1,0
774,1,241.33754,1,0
775,1,187.97999,1,0
776,1,88.77793,1,0
777,1,82.00533,1,0
778,1,241.33754,1,0
779,1,148.58629,1,0
780,1,262.25397,1,0
781,1,220.83283,1,0
782,1,217.41609,1,0
783,1,133.84146,1,0
784,1,53.14433,1,0
785,1,284.4722,1,0
786,1,54.24138,1,0
787,1,144.11173,1,0
788,1,358.89385,1,0
789,1,3.92305,1,0
790,1,288.17618,1,0
791,1,400.823,1,0
792,1,404.22985,1,0
793,1,418.48558,1,0
794,1,2.24194,1,0
795,1,65.81405,1,0
796,1,325.79751,1,0
797,1,296.55326,1,0
798,1,103.52588,1,0
799,1,306.34146,1,0
800,1,353.54914,1,0
801,1,255.74155,1,0
802,1,385.77518,1,0
803,1,61.9525,1,0
804,1,371.44681,1,0
805,1,334.91095,1,0
806,1,1.84923,1,0
807,1,100.29729,1,0
808,1,348.3918,1,0
809,1,4.70123,1,0
810,1,371.85252,1,0
811,1,69.74407,1,0
812,1,288.98559,1,0
813,1,19.94486,1,0
814,1,353.50745,1,0
815,1,295.34057,1,0
816,1,34.9081,1,0
817,1,77.14161,1,0
818,1,299.78448,1,0
819,1,286.3883,1,0
820,1,416.70415,1,0
821,1,338.7854,1,0
822,1,35.94651,1,0
823,1,19.90947,1,0
824,1,49.78917,1,0
825,1,67.19649,1,0
826,1,7.69828,1,0
827,1,5.83639,1,0
828,1,354.29072,1,0
829,1,19.42003,1,0
830,1,20.3328,1,0
831,1,18.29565,1,0
832,1,25.75875,1,0
833,1,409.89074,1,0
834,1,47.6682,1,0
835,1,2.91819,1,0
836,1,270.0682,1,0
837,1,376.01277,1,0
838,1,82.43544,1,0
839,1,8.91467,1,0
840,1,210.84909,1,0
841,1,179.64291,1,0
842,1,114.06201,1,0
843,1,268.21156,1,0
844,1,300.05094,1,0
845,1,35.61356,1,0
846,1,67.28604,1,0
847,1,142.8668,1,0
848,1,2.91819,1,0
849,1,387.73819,1,0
850,1,11.03813,1,0
851,1,339.87016,1,0
852,1,285.84191,1,0
853,1,389.41516,1,0
854,1,259.29796,1,0
855,1,326.6055,1,0
856,1,161.12377,1,0
857,1,197.60333,1,0
858,1,81.07476,1,0
859,1,46.15601,1,0
860,1,181.49955,1,0
861,1,108.55161,1,0
862,1,34.67621,1,0
863,1,211.66395,1,0
864,1,25.46864,1,0
865,1,167.8498,1,0
866,1,34.69383,1,0
867,1,36.75784,1,0
868,1,15.05474,1,0
869,1,8.14864,1,0
870,1,7.10993,1,0
871,1,36.56806,1,0
872,1,22.50994,1,0
873,1,19.67868,1,0
874,1,12.48214,1,0
875,1,8.09409,1,0
876,1,29.173,1,0
877,1,47.13375,1,0
878,1,41.8206,1,0
879,1,0.42978,1,0
880,1,7.90935,1,0
881,1,38.06029,1,0
882,1,22.46461,1,0
884,1,14.59882,1,0
885,1,3.57361,1,0
886,1,14.06234,1,0
887,1,8.35317,1,0
888,1,14.28823,1,0
889,1,2.35644,1,0
890,1,17.65712,1,0
891,1,27.26913,1,0
892,1,53.34935,1,0
893,1,23.96818,1,0
894,1,13.53126,1,0
895,1,15.51389,1,0
896,1,3.6663,1,0
897,1,214.02658,1,0
898,1,238.37035,1,0
899,1,4.66559,1,0
900,1,18.43567,1,0
901,1,18.92038,1,0
902,1,20.73709,1,0
903,1,16.47356,1,0
904,1,5.92527,1,0
905,1,7.16952,1,0
906,1,19.14246,1,0
907,1,21.59731,1,0
908,1,11.20002,1,0
909,1,223.89543,1,0
910,1,11.87563,1,0
911,1,54.72302,1,0
912,1,155.98147,1,0
913,1,18.97361,1,0
914,1,28.50572,1,0
915,1,14.56088,1,0
916,1,63.2255,1,0
917,1,31.29357,1,0
918,1,34.75529,1,0
919,1,31.58353,1,0
920,1,9.39495,1,0
921,1,11.3874,1,0
922,1,15.60857,1,0
923,1,0.31589,1,0
924,1,36.42553,1,0
925,1,39.75103,1,0
926,1,18.10566,1,0
927,1,31.23967,1,0
928,1,11.60073,1,0
929,1,14.56115,1,0
930,1,18.41894,1,0
931,1,24.17243,1,0
932,1,38.35245,1,0
933,1,185.65407,1,0
934,1,24.40279,1,0
935,1,154.61264,1,0
936,1,20.54787,1,0
937,1,25.88267,1,0
938,1,24.39059,1,0
939,1,37.09885,1,0
940,1,20.70885,1,0
941,1,7.08618,1,0
942,1,13.82445,1,0
943,1,24.98839,1,0
944,1,23.27873,1,0
945,1,23.32272,1,0
946,1,25.80817,1,0
947,1,41.8896,1,0
948,1,25.42996,1,0
949,1,25.42996,1,0
950,1,124.18005,1,0
951,1,19.90611,1,0
952,1,96.4353,1,0
953,1,25.65184,1,0
954,1,45.55074,1,0
955,1,34.92949,1,0
956,1,64.70407,1,0
957,1,63.33422,1,0
958,1,101.09065,1,0
959,1,118.20993,1,0
960,1,70.94994,1,0
961,1,51.33815,1,0
962,1,80.62474,1,0
963,1,54.47667,1,0
964,1,95.25538,1,0
965,1,105.4641,1,0
966,1,51.54835,1,0
967,1,65.02162,1,0
968,1,103.80856,1,0
969,1,78.97931,1,0
970,1,26.11467,1,0
971,1,27.01962,1,0
972,1,60.12332,1,0
973,1,104.81144,1,0
974,1,86.44985,1,0
975,1,87.79626,1,0
976,1,22.17535,1,0
977,1,52.49452,1,0
978,1,37.44886,1,0
979,1,46.80243,1,0
980,1,56.75357,1,0
981,1,68.05439,1,0
982,1,132.26056,1,0
983,1,116.77556,1,0
984,1,78.74342,1,0
985,1,52.4847,1,0
986,1,122.64833,1,0
987,1,101.98697,1,0
988,1,113.24354,1,0
989,1,91.5634,1,0
990,1,104.71567,1,0
991,1,174.5679,1,0
992,1,93.98773,1,0
993,1,48.18338,1,0
994,1,120.99356,1,0
995,1,77.21189,1,0
996,1,138.66032,1,0
997,1,119.69506,1,0
998,1,89.29251,1,0
999,1,138.66032,1,0
1000,1,28.1606,1,0
1001,1,29.98504,1,0
1002,1,38.87001,1,0
1003,1,36.13887,1,0
1004,1,56.63186,1,0
1005,1,50.23459,1,0
1006,1,97.45856,1,0
1007,1,67.4037,1,0
1008,1,58.56562,1,0
1009,1,71.57454,1,0
1010,1,81.20981,1,0
1011,1,167.75137,1,0
1012,1,81.20981,1,0
1013,1,82.74701,1,0
1014,1,26.87197,1,0
1015,1,41.95732,1,0
1016,1,155.52395,1,0
1017,1,67.78352,1,0
1018,1,96.45186,1,0
1019,1,81.11959,1,0
1020,1,70.28273,1,0
1021,1,75.13786,1,0
1022,1,26.64258,1,0
1023,1,41.818,1,0
1024,1,98.00459,1,0
1025,1,78.03557,1,0
1026,1,40.8461,1,0
1027,1,127.3905,1,0
1028,1,28.39328,1,0
1029,1,84.03756,1,0
1030,1,83.95068,1,0
1031,1,165.174,1,0
1032,1,12.2716,1,0
1033,1,136.36856,1,0
1034,1,22.76247,1,0
1035,1,13.4103,1,0
1036,1,120.18312,1,0
1037,1,5.10232,1,0
1038,1,80.88852,1,0
1039,1,34.62578,1,0
1040,1,120.49944,1,0
1041,1,180.1276,1,0
1042,1,278.9073,1,0
1043,1,143.09315,1,0
1044,1,217.52139,1,0
1045,1,30.09019,1,0
1046,1,177.16523,1,0
1047,1,230.28365,1,0
1048,1,369.09679,1,0
1049,1,4.89374,1,0
1050,1,60.66842,1,0
1051,1,123.72162,1,0
1052,1,9.58835,1,0
1053,1,356.69998,1,0
1054,1,140.82278,1,0
1055,1,284.95571,1,0
1056,1,338.48026,1,0
1057,1,248.14866,1,0
1058,1,6.54613,1,0
1059,1,381.0555,1,0
1060,1,76.20967,1,0
1061,1,106.52048,1,0
1062,1,6.06417,1,0
1063,1,7.49877,1,0
1064,1,12.37331,1,0
1065,1,352.16869,1,0
1066,1,30.73557,1,0
1067,1,41.57672,1,0
1068,1,127.39193,1,0
1069,1,64.68445,1,0
1070,1,233.16316,1,0
1071,1,61.55137,1,0
1072,1,326.87625,1,0
1073,1,86.73028,1,0
1074,1,61.26055,1,0
1075,1,74.42281,1,0
1076,1,11.8146,1,0
1077,1,26.19211,1,0
1078,1,24.72465,1,0
1079,1,30.01974,1,0
1080,1,45.46621,1,0
1081,1,140.69704,1,0
1082,1,234.13446,1,0
1083,1,228.4356,1,0
1084,1,140.09289,1,0
1085,1,98.85754,1,0
1086,1,21.26664,1,0
1087,1,260.39267,1,0
1088,1,16.84386,1,0
1089,1,260.88212,1,0
1090,1,47.67527,1,0
1091,1,217.3353,1,0
1092,1,316.95483,1,0
1093,1,268.72084,1,0
1094,1,280.4439,1,0
1095,1,44.68473,1,0
1096,1,240.52341,1,0
1097,1,258.34815,1,0
1098,1,191.92535,1,0
1099,1,220.86076,1,0
1100,1,320.17356,1,0
1101,1,63.54698,1,0
1102,1,30.09162,1,0
1103,1,250.21389,1,0
1104,1,362.38267,1,0
1105,1,31.68037,1,0
1106,1,59.4286,1,0
1107,1,9.73815,1,0
1108,1,290.14804,1,0
1109,1,59.77352,1,0
1110,1,411.14798,1,0
1111,1,199.75222,1,0
1112,1,6.42812,1,0
1113,1,355.03101,1,0
1114,1,23.52032,1,0
1115,1,348.30642,1,0
1116,1,141.78032,1,0
1117,1,339.55041,1,0
1118,1,60.81565,1,0
1119,1,46.22004,1,0
1120,1,51.97305,1,0
1121,1,89.5643,1,0
1122,1,54.32179,1,0
1123,1,83.87118,1,0
1124,1,193.7869,1,0
1125,1,264.55271,1,0
1126,1,320.1445,1,0
1127,1,274.26426,1,0
1128,1,2.72863,1,0
1129,1,317.89604,1,0
1130,1,2.83004,1,0
1131,1,53.24213,1,0
1132,1,103.57738,1,0
1133,1,393.8854,1,0
1134,1,163.65087,1,0
1135,1,453.04045,1,0
1136,1,1.76474,1,0
1137,1,233.8594,1,0
1138,1,323.18446,1,0
1139,1,401.20881,1,0
1140,1,49.44069,1,0
1141,1,204.71014,1,0
1142,1,181.43508,1,0
1143,1,232.89326,1,0
1144,1,85.30341,1,0
1145,1,60.53362,1,0
1146,1,284.96001,1,0
1147,1,330.2672,1,0
1148,1,308.7364,1,0
1149,1,33.06648,1,0
1150,1,2.1475,1,0
1151,1,68.56666,1,0
1152,1,370.73019,1,0
1153,1,34.77374,1,0
1154,1,74.34744,1,0
1155,1,39.28594,1,0
1156,1,266.69659,1,0
1157,1,98.33607,1,0
1158,1,25.09216,1,0
1159,1,7.90254,1,0
1160,1,11.08182,1,0
1161,1,64.75655,1,0
1162,1,251.83272,1,0
1163,1,52.46211,1,0
1164,1,51.30547,1,0
1165,1,6.45712,1,0
1166,1,92.24612,1,0
1167,1,259.79937,1,0
1168,1,234.70668,1,0
1169,1,228.04164,1,0
1170,1,411.93853,1,0
1171,1,64.74892,1,0
1172,1,26.42848,1,0
1173,1,66.07751,1,0
1174,1,31.56781,1,0
1175,1,108.54596,1,0
1176,1,63.6007,1,0
1177,1,70.43374,1,0
1178,1,137.25247,1,0
1179,1,97.16278,1,0
1180,1,78.95882,1,0
1181,1,22.03679,1,0
1182,1,35.79363,1,0
1183,1,46.09308,1,0
1184,1,13.96893,1,0
1185,1,5.69456,1,0
1186,1,43.69467,1,0
1187,1,38.15125,1,0
1188,1,28.72769,1,0
1189,1,114.15395,1,0
1190,1,56.30203,1,0
1191,1,108.88426,1,0
1192,1,46.3631,1,0
1193,1,118.49323,1,0
1194,1,38.52164,1,0
1195,1,116.32801,1,0
1196,1,47.47698,1,0
1197,1,34.53114,1,0
1198,1,44.89117,1,0
1199,1,57.81429,1,0
1200,1,28.68901,1,0
1201,1,67.30897,1,0
1202,1,64.51165,1,0
1203,1,48.06309,1,0
1204,1,25.012,1,0
1205,1,22.07739,1,0
1206,1,26.60688,1,0
1207,1,84.62433,1,0
1208,1,44.38081,1,0
1209,1,73.18003,1,0
1210,1,39.87914,1,0
1211,1,79.04906,1,0
1212,1,53.23606,1,0
1213,1,33.46836,1,0
1214,1,62.21997,1,0
1215,1,137.05528,1,0
1216,1,49.81721,1,0
1217,1,62.72726,1,0
1218,1,96.38424,1,0
595,2,0.10327,1,0
596,2,0.0373,1,0
597,2,0.19231,1,0
598,2,0.08601,1,0
599,2,0.38156,1,0
600,2,0.90464,1,0
601,2,0.65152,1,0
602,2,0.0219,1,0
603,2,0.00376,1,0
604,2,0.04674,1,0
605,2,0.91037,1,0
606,2,0.27474,1,0
607,2,0.37521,1,0
610,2,0.23325,1,0
611,2,0.18641,1,0
612,2,0.00352,1,0
614,2,0.17907,1,0
615,2,0.20125,1,0
616,2,0.3682,1,0
617,2,0.56053,1,0
618,2,0.23477,1,0
619,2,0.56283,1,0
620,2,0.00184,1,0
621,2,0.25889,1,0
622,2,0.37979,1,0
623,2,0.19712,1,0
624,2,0.12082,1,0
625,2,0.02937,1,0
626,2,0.11054,1,0
627,2,0.02826,1,0
628,2,0.20672,1,0
629,2,0.14163,1,0
630,2,0.4732,1,0
632,2,0.26134,1,0
634,2,0.12601,1,0
635,2,0.79376,1,0
636,2,0.02993,1,0
637,2,0.55568,1,0
638,2,0.2026,1,0
639,2,0.40793,1,0
640,2,0.06642,1,0
641,2,0.0692,1,0
642,2,0.07294,1,0
643,2,0.00766,1,0
644,2,0.13479,1,0
645,2,0.05397,1,0
646,2,0.15384,1,0
647,2,0.76865,1,0
648,2,0.67478,1,0
649,2,0.607,1,0
650,2,0.44523,1,0
651,2,0.0997,1,0
652,2,0.1525,1,0
653,2,0.38715,1,0
654,2,0.46366,1,0
655,2,0.12169,1,0
656,2,0.02547,1,0
657,2,0.02299,1,0
658,2,0.02341,1,0
659,2,0.00643,1,0
660,2,0.05109,1,0
661,2,0.01852,1,0
662,2,0.00153,1,0
663,2,0.72102,1,0
664,2,0.28193,1,0
665,2,0.56581,1,0
666,2,0.44116,1,0
667,2,0.02193,1,0
668,2,0.00114,1,0
669,2,0.40903,1,0
670,2,0.16338,1,0
671,2,0.33237,1,0
672,2,0.04759,1,0
673,2,0.11984,1,0
674,2,0.05647,1,0
675,2,0.01042,1,0
676,2,0.56498,1,0
677,2,0.62686,1,0
678,2,0.00596,1,0
681,2,0.02792,1,0
683,2,0.01092,1,0
684,2,0.40281,1,0
685,2,0.53,1,0
686,2,0.58085,1,0
687,2,0.09812,1,0
688,2,0.57739,1,0
689,2,0.51074,1,0
690,2,0.02184,1,0
691,2,0.00363,1,0
693,2,0.00517,1,0
695,2,0.07022,1,0
696,2,0.30268,1,0
697,2,0.06845,1,0
698,2,0.50783,1,0
699,2,0.36839,1,0
700,2,0.37333,1,0
701,2,0.59309,1,0
702,2,0.18445,1,0
704,2,0.60444,1,0
707,2,0.49249,1,0
708,2,0.15456,1,0
709,2,0.65952,1,0
711,2,0.10544,1,0
712,2,0.03317,1,0
713,2,0.4144,1,0
714,2,0.07208,1,0
715,2,0.31056,1,0
716,2,0.67652,1,0
717,2,0.33722,1,0
718,2,0.04881,1,0
719,2,0.05418,1,0
720,2,0.51341,1,0
721,2,0.4379,1,0
722,2,0.20293,1,0
723,2,0.1767,1,0
726,2,0.18573,1,0
727,2,0.3503,1,0
728,2,0.00415,1,0
729,2,0.02623,1,0
730,2,0.00978,1,0
731,2,0.03449,1,0
732,2,0.06749,1,0
733,2,0.09179,1,0
734,2,0.24019,1,0
735,2,0.05984,1,0
736,2,0.00154,1,0
737,2,0.62374,1,0
738,2,0.0525,1,0
739,2,0.05788,1,0
740,2,0.38735,1,0
741,2,0.54949,1,0
743,2,0.55818,1,0
744,2,0.39484,1,0
745,2,0.02559,1,0
746,2,0.02358,1,0
747,2,0.27501,1,0
748,2,0.00822,1,0
749,2,0.10264,1,0
750,2,0.05056,1,0
751,2,0.04117,1,0
752,2,0.00388,1,0
753,2,0.0064,1,0
754,2,0.06866,1,0
755,2,0.22902,1,0
756,2,0.06123,1,0
757,2,0.70863,1,0
758,2,0.09404,1,0
759,2,0.19845,1,0
760,2,0.76689,1,0
761,2,0.46282,1,0
762,2,0.02771,1,0
763,2,0.40936,1,0
764,2,0.47042,1,0
765,2,0.6505,1,0
766,2,0.45311,1,0
767,2,0.20986,1,0
768,2,0.08297,1,0
769,2,0.26247,1,0
770,2,0.24415,1,0
771,2,0.13606,1,0
772,2,0.26297,1,0
773,2,0.6395,1,0
774,2,0.8835,1,0
775,2,0.39334,1,0
776,2,0.27101,1,0
777,2,0.07853,1,0
778,2,0.84127,1,0
779,2,0.18465,1,0
780,2,0.49489,1,0
781,2,0.49156,1,0
782,2,0.33818,1,0
783,2,0.1708,1,0
784,2,0.11308,1,0
785,2,0.56206,1,0
786,2,0.103,1,0
787,2,0.49677,1,0
788,2,0.40312,1,0
790,2,0.53711,1,0
791,2,0.71768,1,0
792,2,0.6134,1,0
793,2,0.76363,1,0
795,2,0.10908,1,0
796,2,0.90909,1,0
797,2,0.64549,1,0
798,2,0.23309,1,0
799,2,0.52788,1,0
800,2,0.42407,1,0
801,2,0.55421,1,0
802,2,0.76585,1,0
804,2,0.80543,1,0
805,2,0.48986,1,0
807,2,0.26207,1,0
808,2,0.47833,1,0
810,2,0.71803,1,0
811,2,0.08942,1,0
812,2,0.46736,1,0
813,2,0.0128,1,0
814,2,0.6382,1,0
815,2,0.68632,1,0
816,2,0.00657,1,0
817,2,0.43035,1,0
818,2,0.2711,1,0
819,2,0.54199,1,0
820,2,0.81926,1,0
821,2,0.41036,1,0
823,2,0.04207,1,0
824,2,0.07894,1,0
825,2,0.22156,1,0
828,2,0.78899,1,0
829,2,0.00668,1,0
830,2,0.00404,1,0
832,2,0.01678,1,0
833,2,0.65169,1,0
836,2,0.35045,1,0
837,2,0.43185,1,0
838,2,0.23536,1,0
839,2,0.02913,1,0
840,2,0.30488,1,0
841,2,0.31155,1,0
842,2,0.1879,1,0
843,2,0.48542,1,0
844,2,0.56397,1,0
845,2,0.01612,1,0
846,2,0.01314,1,0
847,2,0.1635,1,0
849,2,0.7261,1,0
850,2,0.00561,1,0
851,2,0.67563,1,0
852,2,0.45472,1,0
853,2,0.75001,1,0
854,2,0.38453,1,0
855,2,0.84314,1,0
856,2,0.32765,1,0
857,2,0.36555,1,0
858,2,0.40693,1,0
859,2,0.00804,1,0
860,2,0.29471,1,0
861,2,0.1143,1,0
862,2,0.01844,1,0
863,2,0.15234,1,0
864,2,0.00116,1,0
865,2,0.11597,1,0
866,2,0.00739,1,0
867,2,0.03848,1,0
868,2,0.01178,1,0
869,2,0.00068,1,0
870,2,0.00191,1,0
871,2,0.06443,1,0
873,2,0.03911,1,0
876,2,0.01962,1,0
877,2,0.05311,1,0
878,2,0.06923,1,0
880,2,0.00024,1,0
881,2,0.04047,1,0
882,2,0.01054,1,0
884,2,0.05051,1,0
885,2,0.07805,1,0
886,2,0.11015,1,0
887,2,0.05048,1,0
888,2,0.01192,1,0
889,2,0.0344,1,0
891,2,0.0167,1,0
892,2,0.05916,1,0
893,2,0.03291,1,0
894,2,0.01163,1,0
